"","region","wild-vs-alpha","wild-vs-beta/gamma","alpha-vs-beta/gamma"
"1","Auvergne-Rhône-Alpes",86,86,86
"2","Bourgogne-Franche-Comté",81,81,86
"3","Bretagne",62,62,81
"4","Centre-Val de Loire",86,75,75
"5","Corse",0,0,0
"6","Grand Est",86,86,86
"7","Guadeloupe",0,0,0
"8","Guyane",0,0,0
"9","Hauts-de-France",86,86,86
"10","Île-de-France",86,86,86
"11","La Réunion",10,51,36
"12","Martinique",0,0,0
"13","Mayotte",0,13,0
"14","Normandie",86,86,86
"15","Nouvelle-Aquitaine",86,86,86
"16","Occitanie",86,86,86
"17","Pays de la Loire",86,86,86
"18","Provence-Alpes-Côte d'Azur",86,86,86
