reg;semaine;cl_age90;Nb_tests_PCR_TA_crible;Prc_tests_PCR_TA_crible;Nb_susp_501Y_V1;Prc_susp_501Y_V1;Nb_susp_501Y_V2_3;Prc_susp_501Y_V2_3;Nb_susp_IND;Prc_susp_IND;Nb_susp_ABS;Prc_susp_ABS
84;2021-02-12-2021-02-18;09;434;66.9;186;42.9;13;3;17;3.9;218;50.2
84;2021-02-12-2021-02-18;19;1218;62.1;532;43.7;38;3.1;40;3.3;608;49.9
84;2021-02-12-2021-02-18;29;1410;61.7;564;40;53;3.8;61;4.3;732;51.9
84;2021-02-12-2021-02-18;39;1424;59.8;609;42.8;47;3.3;50;3.5;718;50.4
84;2021-02-12-2021-02-18;49;1494;62.7;589;39.4;46;3.1;53;3.5;806;53.9
84;2021-02-12-2021-02-18;59;1456;62.2;546;37.5;53;3.6;50;3.4;807;55.4
84;2021-02-12-2021-02-18;69;939;61.9;291;31;17;1.8;39;4.2;592;63
84;2021-02-12-2021-02-18;79;714;63.5;216;30.3;12;1.7;42;5.9;444;62.2
84;2021-02-12-2021-02-18;89;528;58.5;126;23.9;9;1.7;35;6.6;358;67.8
84;2021-02-12-2021-02-18;90;295;59;58;19.7;1;0.3;24;8.1;212;71.9
84;2021-02-13-2021-02-19;09;454;68.8;199;43.8;16;3.5;23;5.1;216;47.6
84;2021-02-13-2021-02-19;19;1305;64.9;610;46.7;42;3.2;49;3.8;604;46.3
84;2021-02-13-2021-02-19;29;1447;62.7;610;42.2;49;3.4;75;5.2;713;49.3
84;2021-02-13-2021-02-19;39;1527;62.1;675;44.2;50;3.3;69;4.5;733;48
84;2021-02-13-2021-02-19;49;1530;63.5;638;41.7;53;3.5;70;4.6;769;50.3
84;2021-02-13-2021-02-19;59;1516;63.9;611;40.3;57;3.8;67;4.4;781;51.5
84;2021-02-13-2021-02-19;69;988;63.5;329;33.3;20;2;50;5.1;589;59.6
84;2021-02-13-2021-02-19;79;779;64.6;255;32.7;13;1.7;42;5.4;469;60.2
84;2021-02-13-2021-02-19;89;562;61;139;24.7;11;2;35;6.2;377;67.1
84;2021-02-13-2021-02-19;90;303;61.5;70;23.1;1;0.3;32;10.6;200;66
