"","region","wild-vs-alpha","wild-vs-beta/gamma","alpha-vs-beta/gamma"
"1","Auvergne-Rhône-Alpes",64,46,46
"2","Bourgogne-Franche-Comté",52,3,3
"3","Bretagne",20,0,0
"4","Centre-Val de Loire",38,0,0
"5","Corse",0,0,0
"6","Grand Est",67,67,84
"7","Guadeloupe",0,0,0
"8","Guyane",0,0,0
"9","Hauts-de-France",66,16,16
"10","Île-de-France",86,86,86
"11","La Réunion",0,0,0
"12","Martinique",0,0,0
"13","Mayotte",0,0,0
"14","Normandie",49,0,0
"15","Nouvelle-Aquitaine",50,0,0
"16","Occitanie",61,1,1
"17","Pays de la Loire",58,27,32
"18","Provence-Alpes-Côte d'Azur",58,21,23
