over_25,specimen_date,nhser_name,s_na,s_positive,s_negative,s_na_adj1,s_positive_adj1,s_negative_adj1,s_na_adj2,s_positive_adj2,s_negative_adj2
FALSE,2020-03-31,London,1,0,0,1,0,0,1,0,0
FALSE,2020-04-01,London,3,0,0,3,0,0,3,0,0
FALSE,2020-04-02,East of England,1,0,0,1,0,0,1,0,0
FALSE,2020-04-02,London,4,0,0,4,0,0,4,0,0
FALSE,2020-04-04,East of England,1,0,0,1,0,0,1,0,0
FALSE,2020-04-04,London,7,0,0,7,0,0,7,0,0
FALSE,2020-04-05,London,4,0,0,4,0,0,4,0,0
FALSE,2020-04-05,Midlands,1,0,0,1,0,0,1,0,0
FALSE,2020-04-06,London,3,0,1,3,0,1,3,0,1
FALSE,2020-04-06,Midlands,2,0,0,2,0,0,2,0,0
FALSE,2020-04-07,London,2,0,0,2,0,0,2,0,0
FALSE,2020-04-07,Midlands,3,0,0,3,0,0,3,0,0
FALSE,2020-04-08,East of England,1,0,0,1,0,0,1,0,0
FALSE,2020-04-08,London,3,0,0,3,0,0,3,0,0
FALSE,2020-04-08,Midlands,1,0,0,1,0,0,1,0,0
FALSE,2020-04-09,East of England,1,0,0,1,0,0,1,0,0
FALSE,2020-04-09,London,4,0,0,4,0,0,4,0,0
FALSE,2020-04-09,North East and Yorkshire,1,0,0,1,0,0,1,0,0
FALSE,2020-04-09,South East,1,0,0,1,0,0,1,0,0
FALSE,2020-04-10,East of England,1,0,0,1,0,0,1,0,0
FALSE,2020-04-10,Midlands,2,0,0,2,0,0,2,0,0
FALSE,2020-04-11,London,3,0,0,3,0,0,3,0,0
FALSE,2020-04-11,Midlands,3,0,0,3,0,0,3,0,0
FALSE,2020-04-12,East of England,1,0,0,1,0,0,1,0,0
FALSE,2020-04-12,London,5,0,0,5,0,0,5,0,0
FALSE,2020-04-12,Midlands,4,0,0,4,0,0,4,0,0
FALSE,2020-04-12,North East and Yorkshire,1,0,0,1,0,0,1,0,0
FALSE,2020-04-13,Midlands,5,0,0,5,0,0,5,0,0
FALSE,2020-04-13,North East and Yorkshire,1,0,0,1,0,0,1,0,0
FALSE,2020-04-13,South East,2,0,0,2,0,0,2,0,0
FALSE,2020-04-14,London,1,0,0,1,0,0,1,0,0
FALSE,2020-04-14,Midlands,4,0,0,4,0,0,4,0,0
FALSE,2020-04-14,North East and Yorkshire,2,0,0,2,0,0,2,0,0
FALSE,2020-04-14,South East,1,0,0,1,0,0,1,0,0
FALSE,2020-04-15,East of England,1,0,0,1,0,0,1,0,0
FALSE,2020-04-15,London,9,0,0,9,0,0,9,0,0
FALSE,2020-04-15,Midlands,5,0,0,5,0,0,5,0,0
FALSE,2020-04-15,North East and Yorkshire,11,0,0,11,0,0,11,0,0
FALSE,2020-04-15,North West,2,0,0,2,0,0,2,0,0
FALSE,2020-04-15,South East,4,0,0,4,0,0,4,0,0
FALSE,2020-04-15,South West,1,0,0,1,0,0,1,0,0
FALSE,2020-04-16,East of England,2,0,0,2,0,0,2,0,0
FALSE,2020-04-16,London,4,0,0,4,0,0,4,0,0
FALSE,2020-04-16,Midlands,13,0,0,13,0,0,13,0,0
FALSE,2020-04-16,North East and Yorkshire,12,0,0,12,0,0,12,0,0
FALSE,2020-04-16,North West,14,0,0,14,0,0,14,0,0
FALSE,2020-04-16,South East,7,0,0,7,0,0,7,0,0
FALSE,2020-04-16,South West,4,0,0,4,0,0,4,0,0
FALSE,2020-04-17,East of England,7,0,0,7,0,0,7,0,0
FALSE,2020-04-17,London,9,0,0,9,0,0,9,0,0
FALSE,2020-04-17,Midlands,14,0,0,14,0,0,14,0,0
FALSE,2020-04-17,North East and Yorkshire,9,0,0,9,0,0,9,0,0
FALSE,2020-04-17,South East,8,0,0,8,0,0,8,0,0
FALSE,2020-04-17,South West,2,0,0,2,0,0,2,0,0
FALSE,2020-04-18,East of England,11,0,0,11,0,0,11,0,0
FALSE,2020-04-18,London,4,0,0,4,0,0,4,0,0
FALSE,2020-04-18,Midlands,31,1,0,32,0,0,31,0,1
FALSE,2020-04-18,North East and Yorkshire,17,0,0,17,0,0,17,0,0
FALSE,2020-04-18,North West,27,0,1,27,0,1,27,0,1
FALSE,2020-04-18,South East,5,0,0,5,0,0,5,0,0
FALSE,2020-04-18,South West,2,0,0,2,0,0,2,0,0
