over_25,specimen_date,nhser_name,s_na,s_positive,s_negative,s_na_adj1,s_positive_adj1,s_negative_adj1,s_na_adj2,s_positive_adj2,s_negative_adj2
FALSE,2020-04-19,East of England,13,0,0,13,0,0,13,0,0
FALSE,2020-04-19,London,7,0,0,7,0,0,7,0,0
FALSE,2020-04-19,Midlands,20,0,0,20,0,0,20,0,0
FALSE,2020-04-19,North East and Yorkshire,24,0,0,24,0,0,24,0,0
FALSE,2020-04-19,North West,16,1,0,17,0,0,16,0,1
FALSE,2020-04-19,South East,12,0,0,12,0,0,12,0,0
FALSE,2020-04-19,South West,1,0,0,1,0,0,1,0,0
FALSE,2020-04-20,East of England,4,0,0,4,0,0,4,0,0
FALSE,2020-04-20,London,6,0,0,6,0,0,6,0,0
FALSE,2020-04-20,Midlands,2,0,0,2,0,0,2,0,0
FALSE,2020-04-20,North East and Yorkshire,18,0,0,18,0,0,18,0,0
FALSE,2020-04-20,North West,11,0,0,11,0,0,11,0,0
FALSE,2020-04-20,South East,2,0,0,2,0,0,2,0,0
FALSE,2020-04-21,East of England,14,0,0,14,0,0,14,0,0
FALSE,2020-04-21,London,10,0,0,10,0,0,10,0,0
FALSE,2020-04-21,Midlands,18,0,0,18,0,0,18,0,0
FALSE,2020-04-21,North East and Yorkshire,14,0,0,14,0,0,14,0,0
FALSE,2020-04-21,North West,12,0,0,12,0,0,12,0,0
FALSE,2020-04-21,South East,16,0,0,16,0,0,16,0,0
FALSE,2020-04-21,South West,4,0,0,4,0,0,4,0,0
FALSE,2020-04-22,East of England,18,0,0,18,0,0,18,0,0
FALSE,2020-04-22,London,12,0,0,12,0,0,12,0,0
FALSE,2020-04-22,Midlands,35,0,0,35,0,0,35,0,0
FALSE,2020-04-22,North East and Yorkshire,34,0,0,34,0,0,34,0,0
FALSE,2020-04-22,North West,41,0,1,41,0,1,41,0,1
FALSE,2020-04-22,South East,29,0,0,29,0,0,29,0,0
FALSE,2020-04-22,South West,20,0,0,20,0,0,20,0,0
FALSE,2020-04-23,East of England,17,0,0,17,0,0,17,0,0
FALSE,2020-04-23,London,19,0,0,19,0,0,19,0,0
FALSE,2020-04-23,Midlands,38,1,1,39,0,1,38,0,2
FALSE,2020-04-23,North East and Yorkshire,31,1,0,31,1,0,31,1,0
FALSE,2020-04-23,North West,32,0,1,32,0,1,32,0,1
FALSE,2020-04-23,South East,33,0,0,33,0,0,33,0,0
FALSE,2020-04-23,South West,17,0,0,17,0,0,17,0,0
FALSE,2020-04-24,East of England,25,0,0,25,0,0,25,0,0
FALSE,2020-04-24,London,11,0,0,11,0,0,11,0,0
FALSE,2020-04-24,Midlands,30,0,0,30,0,0,30,0,0
FALSE,2020-04-24,North East and Yorkshire,22,1,0,23,0,0,22,0,1
FALSE,2020-04-24,North West,27,1,1,27,1,1,27,1,1
FALSE,2020-04-24,South East,33,0,0,33,0,0,33,0,0
FALSE,2020-04-24,South West,15,0,0,15,0,0,15,0,0
FALSE,2020-04-25,East of England,10,0,0,10,0,0,10,0,0
FALSE,2020-04-25,London,17,0,0,17,0,0,17,0,0
FALSE,2020-04-25,Midlands,34,0,0,34,0,0,34,0,0
FALSE,2020-04-25,North East and Yorkshire,34,0,0,34,0,0,34,0,0
FALSE,2020-04-25,North West,19,0,0,19,0,0,19,0,0
FALSE,2020-04-25,South East,21,0,0,21,0,0,21,0,0
FALSE,2020-04-25,South West,6,0,0,6,0,0,6,0,0
FALSE,2020-04-26,East of England,21,0,0,21,0,0,21,0,0
FALSE,2020-04-26,London,19,0,0,19,0,0,19,0,0
FALSE,2020-04-26,Midlands,30,0,0,30,0,0,30,0,0
FALSE,2020-04-26,North East and Yorkshire,30,0,0,30,0,0,30,0,0
FALSE,2020-04-26,North West,17,0,0,17,0,0,17,0,0
FALSE,2020-04-26,South East,26,0,0,26,0,0,26,0,0
FALSE,2020-04-26,South West,22,0,0,22,0,0,22,0,0
FALSE,2020-04-27,East of England,33,0,0,33,0,0,33,0,0
FALSE,2020-04-27,London,25,0,0,25,0,0,25,0,0
FALSE,2020-04-27,Midlands,26,0,0,26,0,0,26,0,0
FALSE,2020-04-27,North East and Yorkshire,25,0,0,25,0,0,25,0,0
FALSE,2020-04-27,North West,20,0,0,20,0,0,20,0,0
FALSE,2020-04-27,South East,28,0,1,28,0,1,28,0,1
FALSE,2020-04-27,South West,19,0,0,19,0,0,19,0,0
FALSE,2020-04-28,East of England,19,0,0,19,0,0,19,0,0
FALSE,2020-04-28,London,13,0,0,13,0,0,13,0,0
FALSE,2020-04-28,Midlands,20,0,0,20,0,0,20,0,0
FALSE,2020-04-28,North East and Yorkshire,43,0,0,43,0,0,43,0,0
FALSE,2020-04-28,North West,41,0,1,41,0,1,41,0,1
FALSE,2020-04-28,South East,30,0,1,30,0,1,30,0,1
FALSE,2020-04-28,South West,21,0,0,21,0,0,21,0,0
FALSE,2020-04-29,East of England,31,0,0,31,0,0,31,0,0
FALSE,2020-04-29,London,15,0,0,15,0,0,15,0,0
FALSE,2020-04-29,Midlands,43,0,0,43,0,0,43,0,0
FALSE,2020-04-29,North East and Yorkshire,60,0,0,60,0,0,60,0,0
FALSE,2020-04-29,North West,28,0,0,28,0,0,28,0,0
FALSE,2020-04-29,South East,28,0,0,28,0,0,28,0,0
FALSE,2020-04-29,South West,24,0,0,24,0,0,24,0,0
FALSE,2020-04-30,East of England,16,1,0,16,1,0,16,1,0
FALSE,2020-04-30,London,14,0,0,14,0,0,14,0,0
FALSE,2020-04-30,Midlands,51,0,0,51,0,0,51,0,0
FALSE,2020-04-30,North East and Yorkshire,48,0,0,48,0,0,48,0,0
FALSE,2020-04-30,North West,34,0,1,34,0,1,34,0,1
FALSE,2020-04-30,South East,22,0,0,22,0,0,22,0,0
FALSE,2020-04-30,South West,17,0,0,17,0,0,17,0,0
FALSE,2020-05-01,East of England,18,0,0,18,0,0,18,0,0
FALSE,2020-05-01,London,22,0,0,22,0,0,22,0,0
FALSE,2020-05-01,Midlands,52,0,0,52,0,0,52,0,0
FALSE,2020-05-01,North East and Yorkshire,66,1,0,67,0,0,66,1,0
FALSE,2020-05-01,North West,41,0,0,41,0,0,41,0,0
FALSE,2020-05-01,South East,19,0,1,19,0,1,19,0,1
FALSE,2020-05-01,South West,13,0,0,13,0,0,13,0,0
FALSE,2020-05-02,East of England,15,0,0,15,0,0,15,0,0
FALSE,2020-05-02,London,14,0,0,14,0,0,14,0,0
FALSE,2020-05-02,Midlands,19,0,0,19,0,0,19,0,0
FALSE,2020-05-02,North East and Yorkshire,34,1,0,35,0,0,34,0,1
FALSE,2020-05-02,North West,17,2,0,18,1,0,17,1,1
FALSE,2020-05-02,South East,19,0,0,19,0,0,19,0,0
FALSE,2020-05-02,South West,14,1,0,15,0,0,14,0,1
FALSE,2020-05-03,East of England,28,0,0,28,0,0,28,0,0
FALSE,2020-05-03,London,9,0,0,9,0,0,9,0,0
FALSE,2020-05-03,Midlands,33,2,0,34,1,0,33,1,1
FALSE,2020-05-03,North East and Yorkshire,40,1,0,41,0,0,40,0,1
FALSE,2020-05-03,North West,27,0,0,27,0,0,27,0,0
FALSE,2020-05-03,South East,17,0,0,17,0,0,17,0,0
FALSE,2020-05-03,South West,12,0,0,12,0,0,12,0,0
FALSE,2020-05-04,East of England,16,0,0,16,0,0,16,0,0
FALSE,2020-05-04,London,7,0,0,7,0,0,7,0,0
FALSE,2020-05-04,Midlands,29,0,0,29,0,0,29,0,0
FALSE,2020-05-04,North East and Yorkshire,21,1,0,22,0,0,21,0,1
FALSE,2020-05-04,North West,12,0,0,12,0,0,12,0,0
FALSE,2020-05-04,South East,19,0,0,19,0,0,19,0,0
FALSE,2020-05-04,South West,6,0,0,6,0,0,6,0,0
FALSE,2020-05-05,East of England,29,0,0,29,0,0,29,0,0
FALSE,2020-05-05,London,12,0,1,12,0,1,12,0,1
FALSE,2020-05-05,Midlands,36,0,0,36,0,0,36,0,0
FALSE,2020-05-05,North East and Yorkshire,44,1,1,45,0,1,44,0,2
FALSE,2020-05-05,North West,32,1,0,32,1,0,32,1,0
FALSE,2020-05-05,South East,30,0,1,30,0,1,30,0,1
FALSE,2020-05-05,South West,10,0,0,10,0,0,10,0,0
FALSE,2020-05-06,East of England,29,0,0,29,0,0,29,0,0
FALSE,2020-05-06,London,11,0,0,11,0,0,11,0,0
FALSE,2020-05-06,Midlands,41,0,0,41,0,0,41,0,0
FALSE,2020-05-06,North East and Yorkshire,51,1,0,51,1,0,51,1,0
FALSE,2020-05-06,North West,38,0,1,38,0,1,38,0,1
FALSE,2020-05-06,South East,36,0,1,36,0,1,36,0,1
FALSE,2020-05-06,South West,16,0,0,16,0,0,16,0,0
FALSE,2020-05-07,East of England,24,0,0,24,0,0,24,0,0
FALSE,2020-05-07,London,19,0,0,19,0,0,19,0,0
FALSE,2020-05-07,Midlands,49,0,0,49,0,0,49,0,0
FALSE,2020-05-07,North East and Yorkshire,39,0,0,39,0,0,39,0,0
FALSE,2020-05-07,North West,28,0,0,28,0,0,28,0,0
FALSE,2020-05-07,South East,17,0,0,17,0,0,17,0,0
FALSE,2020-05-07,South West,24,0,0,24,0,0,24,0,0
FALSE,2020-05-08,East of England,25,0,0,25,0,0,25,0,0
FALSE,2020-05-08,London,20,0,0,20,0,0,20,0,0
FALSE,2020-05-08,Midlands,49,1,0,49,1,0,49,1,0
FALSE,2020-05-08,North East and Yorkshire,52,0,0,52,0,0,52,0,0
FALSE,2020-05-08,North West,43,0,0,43,0,0,43,0,0
FALSE,2020-05-08,South East,20,1,0,21,0,0,20,0,1
FALSE,2020-05-08,South West,13,0,0,13,0,0,13,0,0
FALSE,2020-05-09,East of England,23,0,0,23,0,0,23,0,0
FALSE,2020-05-09,London,8,0,0,8,0,0,8,0,0
FALSE,2020-05-09,Midlands,24,1,0,24,1,0,24,1,0
FALSE,2020-05-09,North East and Yorkshire,27,0,2,27,0,2,27,0,2
FALSE,2020-05-09,North West,28,0,0,28,0,0,28,0,0
FALSE,2020-05-09,South East,17,0,0,17,0,0,17,0,0
FALSE,2020-05-09,South West,7,0,0,7,0,0,7,0,0
FALSE,2020-05-10,East of England,15,0,0,15,0,0,15,0,0
FALSE,2020-05-10,London,16,0,0,16,0,0,16,0,0
FALSE,2020-05-10,Midlands,38,0,0,38,0,0,38,0,0
FALSE,2020-05-10,North East and Yorkshire,32,0,0,32,0,0,32,0,0
FALSE,2020-05-10,North West,24,0,0,24,0,0,24,0,0
FALSE,2020-05-10,South East,15,0,0,15,0,0,15,0,0
FALSE,2020-05-10,South West,11,0,0,11,0,0,11,0,0
FALSE,2020-05-11,East of England,21,0,0,21,0,0,21,0,0
FALSE,2020-05-11,London,8,0,0,8,0,0,8,0,0
FALSE,2020-05-11,Midlands,38,0,0,38,0,0,38,0,0
FALSE,2020-05-11,North East and Yorkshire,49,2,0,49,2,0,49,2,0
FALSE,2020-05-11,North West,27,0,0,27,0,0,27,0,0
FALSE,2020-05-11,South East,30,0,0,30,0,0,30,0,0
FALSE,2020-05-11,South West,14,0,0,14,0,0,14,0,0
FALSE,2020-05-12,East of England,31,0,0,31,0,0,31,0,0
FALSE,2020-05-12,London,11,0,1,11,0,1,11,0,1
FALSE,2020-05-12,Midlands,55,1,0,55,1,0,55,1,0
FALSE,2020-05-12,North East and Yorkshire,42,0,0,42,0,0,42,0,0
FALSE,2020-05-12,North West,40,1,0,40,1,0,40,1,0
FALSE,2020-05-12,South East,21,0,0,21,0,0,21,0,0
FALSE,2020-05-12,South West,28,0,0,28,0,0,28,0,0
FALSE,2020-05-13,East of England,23,0,0,23,0,0,23,0,0
FALSE,2020-05-13,London,15,0,0,15,0,0,15,0,0
FALSE,2020-05-13,Midlands,46,0,0,46,0,0,46,0,0
FALSE,2020-05-13,North East and Yorkshire,56,1,0,56,1,0,56,1,0
FALSE,2020-05-13,North West,20,0,1,20,0,1,20,0,1
FALSE,2020-05-13,South East,33,0,0,33,0,0,33,0,0
FALSE,2020-05-13,South West,16,0,0,16,0,0,16,0,0
FALSE,2020-05-14,East of England,22,0,0,22,0,0,22,0,0
FALSE,2020-05-14,London,8,0,0,8,0,0,8,0,0
FALSE,2020-05-14,Midlands,46,0,0,46,0,0,46,0,0
FALSE,2020-05-14,North East and Yorkshire,47,0,0,47,0,0,47,0,0
FALSE,2020-05-14,North West,34,1,0,34,1,0,34,1,0
FALSE,2020-05-14,South East,22,0,1,22,0,1,22,0,1
FALSE,2020-05-14,South West,6,0,0,6,0,0,6,0,0
FALSE,2020-05-15,East of England,16,0,0,16,0,0,16,0,0
FALSE,2020-05-15,London,17,1,0,17,1,0,17,1,0
FALSE,2020-05-15,Midlands,40,0,0,40,0,0,40,0,0
FALSE,2020-05-15,North East and Yorkshire,46,2,0,48,0,0,46,0,2
FALSE,2020-05-15,North West,27,0,0,27,0,0,27,0,0
FALSE,2020-05-15,South East,27,0,0,27,0,0,27,0,0
FALSE,2020-05-15,South West,20,0,0,20,0,0,20,0,0
FALSE,2020-05-16,East of England,31,0,0,31,0,0,31,0,0
FALSE,2020-05-16,London,10,0,0,10,0,0,10,0,0
FALSE,2020-05-16,Midlands,50,1,0,50,1,0,50,1,0
FALSE,2020-05-16,North East and Yorkshire,47,0,0,47,0,0,47,0,0
FALSE,2020-05-16,North West,39,0,0,39,0,0,39,0,0
FALSE,2020-05-16,South East,20,0,0,20,0,0,20,0,0
FALSE,2020-05-16,South West,4,0,0,4,0,0,4,0,0
FALSE,2020-05-17,East of England,17,0,0,17,0,0,17,0,0
FALSE,2020-05-17,London,12,0,0,12,0,0,12,0,0
FALSE,2020-05-17,Midlands,38,0,0,38,0,0,38,0,0
FALSE,2020-05-17,North East and Yorkshire,25,1,0,25,1,0,25,1,0
FALSE,2020-05-17,North West,23,0,0,23,0,0,23,0,0
FALSE,2020-05-17,South East,18,0,0,18,0,0,18,0,0
FALSE,2020-05-17,South West,13,0,0,13,0,0,13,0,0
FALSE,2020-05-18,East of England,26,0,0,26,0,0,26,0,0
FALSE,2020-05-18,London,4,0,0,4,0,0,4,0,0
FALSE,2020-05-18,Midlands,42,1,0,43,0,0,42,0,1
FALSE,2020-05-18,North East and Yorkshire,46,1,0,47,0,0,46,0,1
FALSE,2020-05-18,North West,42,0,0,42,0,0,42,0,0
FALSE,2020-05-18,South East,22,0,0,22,0,0,22,0,0
FALSE,2020-05-18,South West,15,0,0,15,0,0,15,0,0
FALSE,2020-05-19,East of England,18,0,0,18,0,0,18,0,0
FALSE,2020-05-19,London,14,0,0,14,0,0,14,0,0
FALSE,2020-05-19,Midlands,52,1,0,53,0,0,52,0,1
FALSE,2020-05-19,North East and Yorkshire,43,0,0,43,0,0,43,0,0
FALSE,2020-05-19,North West,50,0,0,50,0,0,50,0,0
FALSE,2020-05-19,South East,24,0,0,24,0,0,24,0,0
FALSE,2020-05-19,South West,7,1,0,7,1,0,7,1,0
FALSE,2020-05-20,East of England,19,0,0,19,0,0,19,0,0
FALSE,2020-05-20,London,15,0,0,15,0,0,15,0,0
FALSE,2020-05-20,Midlands,50,0,0,50,0,0,50,0,0
FALSE,2020-05-20,North East and Yorkshire,38,0,0,38,0,0,38,0,0
FALSE,2020-05-20,North West,45,0,0,45,0,0,45,0,0
FALSE,2020-05-20,South East,27,0,0,27,0,0,27,0,0
FALSE,2020-05-20,South West,8,0,0,8,0,0,8,0,0
FALSE,2020-05-21,East of England,20,0,0,20,0,0,20,0,0
FALSE,2020-05-21,London,13,1,0,13,1,0,13,1,0
FALSE,2020-05-21,Midlands,56,0,0,56,0,0,56,0,0
FALSE,2020-05-21,North East and Yorkshire,64,2,0,65,1,0,64,1,1
FALSE,2020-05-21,North West,35,0,0,35,0,0,35,0,0
FALSE,2020-05-21,South East,20,0,0,20,0,0,20,0,0
FALSE,2020-05-21,South West,12,0,0,12,0,0,12,0,0
FALSE,2020-05-22,East of England,21,0,0,21,0,0,21,0,0
FALSE,2020-05-22,London,4,0,0,4,0,0,4,0,0
FALSE,2020-05-22,Midlands,32,0,0,32,0,0,32,0,0
FALSE,2020-05-22,North East and Yorkshire,39,0,0,39,0,0,39,0,0
FALSE,2020-05-22,North West,33,1,0,33,1,0,33,1,0
FALSE,2020-05-22,South East,19,0,0,19,0,0,19,0,0
FALSE,2020-05-22,South West,8,0,0,8,0,0,8,0,0
FALSE,2020-05-23,East of England,16,0,0,16,0,0,16,0,0
FALSE,2020-05-23,London,10,0,0,10,0,0,10,0,0
FALSE,2020-05-23,Midlands,35,1,0,35,1,0,35,1,0
FALSE,2020-05-23,North East and Yorkshire,44,0,0,44,0,0,44,0,0
FALSE,2020-05-23,North West,30,0,0,30,0,0,30,0,0
FALSE,2020-05-23,South East,9,0,0,9,0,0,9,0,0
FALSE,2020-05-23,South West,1,0,0,1,0,0,1,0,0
FALSE,2020-05-24,East of England,13,0,0,13,0,0,13,0,0
FALSE,2020-05-24,London,7,0,0,7,0,0,7,0,0
FALSE,2020-05-24,Midlands,35,0,0,35,0,0,35,0,0
FALSE,2020-05-24,North East and Yorkshire,43,0,0,43,0,0,43,0,0
FALSE,2020-05-24,North West,36,0,0,36,0,0,36,0,0
FALSE,2020-05-24,South East,21,0,0,21,0,0,21,0,0
FALSE,2020-05-24,South West,5,0,0,5,0,0,5,0,0
FALSE,2020-05-25,East of England,8,0,0,8,0,0,8,0,0
FALSE,2020-05-25,London,5,0,0,5,0,0,5,0,0
FALSE,2020-05-25,Midlands,36,0,0,36,0,0,36,0,0
FALSE,2020-05-25,North East and Yorkshire,26,0,0,26,0,0,26,0,0
FALSE,2020-05-25,North West,27,1,0,27,1,0,27,1,0
FALSE,2020-05-25,South East,13,0,0,13,0,0,13,0,0
FALSE,2020-05-25,South West,8,0,0,8,0,0,8,0,0
FALSE,2020-05-26,East of England,14,0,0,14,0,0,14,0,0
FALSE,2020-05-26,London,8,0,1,8,0,1,8,0,1
FALSE,2020-05-26,Midlands,32,0,0,32,0,0,32,0,0
FALSE,2020-05-26,North East and Yorkshire,33,1,0,34,0,0,33,1,0
FALSE,2020-05-26,North West,31,0,0,31,0,0,31,0,0
FALSE,2020-05-26,South East,8,0,0,8,0,0,8,0,0
FALSE,2020-05-26,South West,8,0,0,8,0,0,8,0,0
FALSE,2020-05-27,East of England,14,0,0,14,0,0,14,0,0
FALSE,2020-05-27,London,2,0,0,2,0,0,2,0,0
FALSE,2020-05-27,Midlands,32,0,0,32,0,0,32,0,0
FALSE,2020-05-27,North East and Yorkshire,32,0,0,32,0,0,32,0,0
FALSE,2020-05-27,North West,30,0,0,30,0,0,30,0,0
FALSE,2020-05-27,South East,19,0,0,19,0,0,19,0,0
FALSE,2020-05-27,South West,4,0,0,4,0,0,4,0,0
FALSE,2020-05-28,East of England,12,0,1,12,0,1,12,0,1
FALSE,2020-05-28,London,7,0,0,7,0,0,7,0,0
FALSE,2020-05-28,Midlands,45,0,0,45,0,0,45,0,0
FALSE,2020-05-28,North East and Yorkshire,40,0,0,40,0,0,40,0,0
FALSE,2020-05-28,North West,25,0,0,25,0,0,25,0,0
FALSE,2020-05-28,South East,24,0,0,24,0,0,24,0,0
FALSE,2020-05-28,South West,14,0,0,14,0,0,14,0,0
FALSE,2020-05-29,East of England,17,0,0,17,0,0,17,0,0
FALSE,2020-05-29,London,2,0,0,2,0,0,2,0,0
FALSE,2020-05-29,Midlands,39,0,0,39,0,0,39,0,0
FALSE,2020-05-29,North East and Yorkshire,23,0,0,23,0,0,23,0,0
FALSE,2020-05-29,North West,21,0,0,21,0,0,21,0,0
FALSE,2020-05-29,South East,14,0,0,14,0,0,14,0,0
FALSE,2020-05-29,South West,3,0,0,3,0,0,3,0,0
FALSE,2020-05-30,East of England,6,0,0,6,0,0,6,0,0
FALSE,2020-05-30,London,5,0,0,5,0,0,5,0,0
FALSE,2020-05-30,Midlands,17,0,0,17,0,0,17,0,0
FALSE,2020-05-30,North East and Yorkshire,28,0,0,28,0,0,28,0,0
FALSE,2020-05-30,North West,25,0,0,25,0,0,25,0,0
FALSE,2020-05-30,South East,9,0,0,9,0,0,9,0,0
FALSE,2020-05-30,South West,7,0,0,7,0,0,7,0,0
FALSE,2020-05-31,East of England,5,0,0,5,0,0,5,0,0
FALSE,2020-05-31,London,3,0,0,3,0,0,3,0,0
FALSE,2020-05-31,Midlands,24,0,0,24,0,0,24,0,0
FALSE,2020-05-31,North East and Yorkshire,34,0,0,34,0,0,34,0,0
FALSE,2020-05-31,North West,39,0,0,39,0,0,39,0,0
FALSE,2020-05-31,South East,7,0,0,7,0,0,7,0,0
FALSE,2020-05-31,South West,7,0,0,7,0,0,7,0,0
FALSE,2020-06-01,East of England,12,0,0,12,0,0,12,0,0
FALSE,2020-06-01,London,6,0,0,6,0,0,6,0,0
FALSE,2020-06-01,Midlands,43,0,1,43,0,1,43,0,1
FALSE,2020-06-01,North East and Yorkshire,26,1,0,26,1,0,26,1,0
FALSE,2020-06-01,North West,19,0,0,19,0,0,19,0,0
FALSE,2020-06-01,South East,12,0,0,12,0,0,12,0,0
FALSE,2020-06-01,South West,5,0,0,5,0,0,5,0,0
FALSE,2020-06-02,East of England,6,0,0,6,0,0,6,0,0
FALSE,2020-06-02,London,4,0,0,4,0,0,4,0,0
FALSE,2020-06-02,Midlands,42,1,0,43,0,0,42,0,1
FALSE,2020-06-02,North East and Yorkshire,31,0,0,31,0,0,31,0,0
FALSE,2020-06-02,North West,24,0,0,24,0,0,24,0,0
FALSE,2020-06-02,South East,15,0,0,15,0,0,15,0,0
FALSE,2020-06-02,South West,5,0,0,5,0,0,5,0,0
FALSE,2020-06-03,East of England,11,0,0,11,0,0,11,0,0
FALSE,2020-06-03,London,3,0,0,3,0,0,3,0,0
FALSE,2020-06-03,Midlands,39,0,0,39,0,0,39,0,0
FALSE,2020-06-03,North East and Yorkshire,35,0,0,35,0,0,35,0,0
FALSE,2020-06-03,North West,35,0,0,35,0,0,35,0,0
FALSE,2020-06-03,South East,6,0,0,6,0,0,6,0,0
FALSE,2020-06-03,South West,7,0,0,7,0,0,7,0,0
FALSE,2020-06-04,East of England,6,0,0,6,0,0,6,0,0
FALSE,2020-06-04,London,5,0,0,5,0,0,5,0,0
FALSE,2020-06-04,Midlands,26,0,0,26,0,0,26,0,0
FALSE,2020-06-04,North East and Yorkshire,32,1,0,33,0,0,32,0,1
FALSE,2020-06-04,North West,29,0,0,29,0,0,29,0,0
FALSE,2020-06-04,South East,15,0,0,15,0,0,15,0,0
FALSE,2020-06-04,South West,9,0,0,9,0,0,9,0,0
FALSE,2020-06-05,East of England,9,0,0,9,0,0,9,0,0
FALSE,2020-06-05,London,3,0,0,3,0,0,3,0,0
FALSE,2020-06-05,Midlands,28,0,1,28,0,1,28,0,1
FALSE,2020-06-05,North East and Yorkshire,25,0,0,25,0,0,25,0,0
FALSE,2020-06-05,North West,30,1,0,30,1,0,30,1,0
FALSE,2020-06-05,South East,8,0,0,8,0,0,8,0,0
FALSE,2020-06-05,South West,3,0,0,3,0,0,3,0,0
FALSE,2020-06-06,East of England,11,0,0,11,0,0,11,0,0
FALSE,2020-06-06,London,6,0,0,6,0,0,6,0,0
FALSE,2020-06-06,Midlands,22,0,0,22,0,0,22,0,0
FALSE,2020-06-06,North East and Yorkshire,22,0,1,22,0,1,22,0,1
FALSE,2020-06-06,North West,18,0,0,18,0,0,18,0,0
FALSE,2020-06-06,South East,9,0,0,9,0,0,9,0,0
FALSE,2020-06-06,South West,6,0,0,6,0,0,6,0,0
