"reg_name","date","n_hospital_deaths","all_hosp_occupancy","icu_occupancy","general_beds_occupancy","new_hospital_admissions_allage","n_negatives_reg_both_sex","n_positives_reg_both_sex","n_tests_no_variant_dep_7day_allage","n_tests_other_variant_dep_7day","n_tests_sa_brazil_susp_dep_7day","n_tests_uk_susp_dep_7day_allage"
"Guadeloupe",2020-03-18,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Martinique",2020-03-18,1,16,5,NA,NA,NA,NA,NA,NA,NA,NA
"French Guiana",2020-03-18,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Reunion",2020-03-18,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"Mayotte",2020-03-18,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Ile-de-France",2020-03-18,36,957,294,NA,NA,NA,NA,NA,NA,NA,NA
"Centre-Val de Loire",2020-03-18,1,14,5,NA,NA,NA,NA,NA,NA,NA,NA
"Bourgogne-Franche-Comte",2020-03-18,6,168,33,NA,NA,NA,NA,NA,NA,NA,NA
"Normandy",2020-03-18,3,45,4,NA,NA,NA,NA,NA,NA,NA,NA
"Hauts-de-France",2020-03-18,21,313,87,NA,NA,NA,NA,NA,NA,NA,NA
"Grand Est",2020-03-18,120,879,204,NA,NA,NA,NA,NA,NA,NA,NA
"Pays de la Loire",2020-03-18,1,44,4,NA,NA,NA,NA,NA,NA,NA,NA
"Brittany",2020-03-18,7,60,23,NA,NA,NA,NA,NA,NA,NA,NA
"Nouvelle-Aquitaine",2020-03-18,2,41,12,NA,NA,NA,NA,NA,NA,NA,NA
"Occitanie",2020-03-18,6,95,39,NA,NA,NA,NA,NA,NA,NA,NA
"Auvergne-Rhone-Alpes",2020-03-18,7,172,35,NA,NA,NA,NA,NA,NA,NA,NA
"Provence-Alpes-Cote d'Azur",2020-03-18,7,166,24,NA,NA,NA,NA,NA,NA,NA,NA
"Corsica",2020-03-18,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Guadeloupe",2020-03-19,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
"Martinique",2020-03-19,0,17,5,NA,1,NA,NA,NA,NA,NA,NA
"French Guiana",2020-03-19,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
"Reunion",2020-03-19,0,2,2,NA,0,NA,NA,NA,NA,NA,NA
"Mayotte",2020-03-19,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
"Ile-de-France",2020-03-19,37,1482,410,NA,706,NA,NA,NA,NA,NA,NA
"Centre-Val de Loire",2020-03-19,0,37,11,NA,26,NA,NA,NA,NA,NA,NA
"Bourgogne-Franche-Comte",2020-03-19,13,217,63,NA,96,NA,NA,NA,NA,NA,NA
"Normandy",2020-03-19,2,54,11,NA,18,NA,NA,NA,NA,NA,NA
"Hauts-de-France",2020-03-19,25,417,116,NA,212,NA,NA,NA,NA,NA,NA
"Grand Est",2020-03-19,38,1196,259,NA,438,NA,NA,NA,NA,NA,NA
"Pays de la Loire",2020-03-19,0,66,14,NA,40,NA,NA,NA,NA,NA,NA
"Brittany",2020-03-19,3,83,25,NA,52,NA,NA,NA,NA,NA,NA
"Nouvelle-Aquitaine",2020-03-19,1,59,12,NA,39,NA,NA,NA,NA,NA,NA
"Occitanie",2020-03-19,11,145,59,NA,82,NA,NA,NA,NA,NA,NA
"Auvergne-Rhone-Alpes",2020-03-19,21,408,74,NA,337,NA,NA,NA,NA,NA,NA
"Provence-Alpes-Cote d'Azur",2020-03-19,2,224,47,NA,122,NA,NA,NA,NA,NA,NA
"Corsica",2020-03-19,1,54,14,NA,60,NA,NA,NA,NA,NA,NA
"Guadeloupe",2020-03-20,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
"Martinique",2020-03-20,0,19,5,NA,2,NA,NA,NA,NA,NA,NA
"French Guiana",2020-03-20,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
"Reunion",2020-03-20,0,2,2,NA,0,NA,NA,NA,NA,NA,NA
"Mayotte",2020-03-20,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
"Ile-de-France",2020-03-20,26,1785,484,NA,458,NA,NA,NA,NA,NA,NA
"Centre-Val de Loire",2020-03-20,1,58,13,NA,22,NA,NA,NA,NA,NA,NA
"Bourgogne-Franche-Comte",2020-03-20,3,270,71,NA,77,NA,NA,NA,NA,NA,NA
"Normandy",2020-03-20,2,71,13,NA,23,NA,NA,NA,NA,NA,NA
"Hauts-de-France",2020-03-20,5,432,136,NA,91,NA,NA,NA,NA,NA,NA
"Grand Est",2020-03-20,25,1364,294,NA,263,NA,NA,NA,NA,NA,NA
"Pays de la Loire",2020-03-20,0,73,17,NA,16,NA,NA,NA,NA,NA,NA
"Brittany",2020-03-20,2,94,25,NA,16,NA,NA,NA,NA,NA,NA
"Nouvelle-Aquitaine",2020-03-20,1,65,15,NA,19,NA,NA,NA,NA,NA,NA
"Occitanie",2020-03-20,4,183,66,NA,57,NA,NA,NA,NA,NA,NA
"Auvergne-Rhone-Alpes",2020-03-20,5,463,87,NA,98,NA,NA,NA,NA,NA,NA
