"reg_name","date","n_hospital_deaths","all_hosp_occupancy","icu_occupancy","general_beds_occupancy","new_hospital_admissions_allage","n_negatives_reg_both_sex","n_positives_reg_both_sex","n_tests_no_variant_dep_7day_allage","n_tests_other_variant_dep_7day","n_tests_sa_brazil_susp_dep_7day","n_tests_uk_susp_dep_7day_allage"
"Provence-Alpes-Cote d'Azur",2020-03-20,2,281,55,NA,78,NA,NA,NA,NA,NA,NA
"Corsica",2020-03-20,2,66,14,NA,36,NA,NA,NA,NA,NA,NA
"Guadeloupe",2020-03-21,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
"Martinique",2020-03-21,0,19,5,NA,0,NA,NA,NA,NA,NA,NA
"French Guiana",2020-03-21,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
"Reunion",2020-03-21,0,2,2,NA,0,NA,NA,NA,NA,NA,NA
"Mayotte",2020-03-21,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
"Ile-de-France",2020-03-21,27,2178,567,NA,549,NA,NA,NA,NA,NA,NA
"Centre-Val de Loire",2020-03-21,1,64,15,NA,12,NA,NA,NA,NA,NA,NA
"Bourgogne-Franche-Comte",2020-03-21,13,297,82,NA,67,NA,NA,NA,NA,NA,NA
"Normandy",2020-03-21,0,100,22,NA,32,NA,NA,NA,NA,NA,NA
"Hauts-de-France",2020-03-21,7,439,147,NA,131,NA,NA,NA,NA,NA,NA
"Grand Est",2020-03-21,44,1556,349,NA,313,NA,NA,NA,NA,NA,NA
"Pays de la Loire",2020-03-21,2,88,23,NA,28,NA,NA,NA,NA,NA,NA
"Brittany",2020-03-21,3,122,26,NA,34,NA,NA,NA,NA,NA,NA
"Nouvelle-Aquitaine",2020-03-21,1,118,32,NA,62,NA,NA,NA,NA,NA,NA
"Occitanie",2020-03-21,5,206,72,NA,58,NA,NA,NA,NA,NA,NA
"Auvergne-Rhone-Alpes",2020-03-21,7,581,97,NA,152,NA,NA,NA,NA,NA,NA
"Provence-Alpes-Cote d'Azur",2020-03-21,2,334,72,NA,98,NA,NA,NA,NA,NA,NA
"Corsica",2020-03-21,1,68,14,NA,4,NA,NA,NA,NA,NA,NA
"Guadeloupe",2020-03-22,0,6,6,NA,6,NA,NA,NA,NA,NA,NA
"Martinique",2020-03-22,0,19,5,NA,1,NA,NA,NA,NA,NA,NA
"French Guiana",2020-03-22,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
"Reunion",2020-03-22,0,2,2,NA,0,NA,NA,NA,NA,NA,NA
"Mayotte",2020-03-22,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
"Ile-de-France",2020-03-22,22,2638,666,NA,589,NA,NA,NA,NA,NA,NA
"Centre-Val de Loire",2020-03-22,0,74,21,NA,14,NA,NA,NA,NA,NA,NA
"Bourgogne-Franche-Comte",2020-03-22,13,353,90,NA,130,NA,NA,NA,NA,NA,NA
"Normandy",2020-03-22,2,125,29,NA,31,NA,NA,NA,NA,NA,NA
"Hauts-de-France",2020-03-22,11,490,156,NA,83,NA,NA,NA,NA,NA,NA
"Grand Est",2020-03-22,39,1744,385,NA,291,NA,NA,NA,NA,NA,NA
"Pays de la Loire",2020-03-22,1,107,28,NA,32,NA,NA,NA,NA,NA,NA
"Brittany",2020-03-22,2,130,31,NA,21,NA,NA,NA,NA,NA,NA
"Nouvelle-Aquitaine",2020-03-22,4,149,41,NA,32,NA,NA,NA,NA,NA,NA
"Occitanie",2020-03-22,2,261,73,NA,86,NA,NA,NA,NA,NA,NA
"Auvergne-Rhone-Alpes",2020-03-22,12,679,119,NA,133,NA,NA,NA,NA,NA,NA
"Provence-Alpes-Cote d'Azur",2020-03-22,2,391,79,NA,78,NA,NA,NA,NA,NA,NA
"Corsica",2020-03-22,2,72,15,NA,7,NA,NA,NA,NA,NA,NA
"Guadeloupe",2020-03-23,0,6,6,NA,0,NA,NA,NA,NA,NA,NA
"Martinique",2020-03-23,0,19,5,NA,0,NA,NA,NA,NA,NA,NA
"French Guiana",2020-03-23,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
"Reunion",2020-03-23,0,2,2,NA,0,NA,NA,NA,NA,NA,NA
"Mayotte",2020-03-23,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
"Ile-de-France",2020-03-23,45,3142,787,NA,688,NA,NA,NA,NA,NA,NA
"Centre-Val de Loire",2020-03-23,5,117,38,NA,53,NA,NA,NA,NA,NA,NA
"Bourgogne-Franche-Comte",2020-03-23,14,411,99,NA,87,NA,NA,NA,NA,NA,NA
"Normandy",2020-03-23,1,148,33,NA,36,NA,NA,NA,NA,NA,NA
"Hauts-de-France",2020-03-23,17,612,187,NA,166,NA,NA,NA,NA,NA,NA
"Grand Est",2020-03-23,61,2011,432,NA,416,NA,NA,NA,NA,NA,NA
"Pays de la Loire",2020-03-23,5,147,35,NA,47,NA,NA,NA,NA,NA,NA
"Brittany",2020-03-23,6,132,30,NA,25,NA,NA,NA,NA,NA,NA
"Nouvelle-Aquitaine",2020-03-23,4,196,47,NA,79,NA,NA,NA,NA,NA,NA
"Occitanie",2020-03-23,4,331,101,NA,86,NA,NA,NA,NA,NA,NA
"Auvergne-Rhone-Alpes",2020-03-23,18,853,157,NA,230,NA,NA,NA,NA,NA,NA
"Provence-Alpes-Cote d'Azur",2020-03-23,5,481,112,NA,124,NA,NA,NA,NA,NA,NA
"Corsica",2020-03-23,1,65,9,NA,16,NA,NA,NA,NA,NA,NA
"Guadeloupe",2020-03-24,0,6,6,NA,0,NA,NA,NA,NA,NA,NA
"Martinique",2020-03-24,0,13,5,NA,5,NA,NA,NA,NA,NA,NA
"French Guiana",2020-03-24,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
"Reunion",2020-03-24,0,3,3,NA,1,NA,NA,NA,NA,NA,NA
"Mayotte",2020-03-24,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
"Ile-de-France",2020-03-24,69,3683,973,NA,859,NA,NA,NA,NA,NA,NA
"Centre-Val de Loire",2020-03-24,1,137,44,NA,31,NA,NA,NA,NA,NA,NA
"Bourgogne-Franche-Comte",2020-03-24,23,477,121,NA,185,NA,NA,NA,NA,NA,NA
"Normandy",2020-03-24,6,170,40,NA,37,NA,NA,NA,NA,NA,NA
"Hauts-de-France",2020-03-24,23,711,208,NA,193,NA,NA,NA,NA,NA,NA
"Grand Est",2020-03-24,80,2402,504,NA,646,NA,NA,NA,NA,NA,NA
"Pays de la Loire",2020-03-24,4,187,43,NA,67,NA,NA,NA,NA,NA,NA
"Brittany",2020-03-24,2,133,30,NA,31,NA,NA,NA,NA,NA,NA
"Nouvelle-Aquitaine",2020-03-24,3,263,69,NA,98,NA,NA,NA,NA,NA,NA
"Occitanie",2020-03-24,7,382,125,NA,95,NA,NA,NA,NA,NA,NA
"Auvergne-Rhone-Alpes",2020-03-24,16,981,190,NA,228,NA,NA,NA,NA,NA,NA
"Provence-Alpes-Cote d'Azur",2020-03-24,6,545,133,NA,130,NA,NA,NA,NA,NA,NA
"Corsica",2020-03-24,0,70,9,NA,12,NA,NA,NA,NA,NA,NA
"Guadeloupe",2020-03-25,0,6,6,NA,0,NA,NA,NA,NA,NA,NA
"Martinique",2020-03-25,0,22,7,NA,11,NA,NA,NA,NA,NA,NA
"French Guiana",2020-03-25,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
"Reunion",2020-03-25,0,3,3,NA,0,NA,NA,NA,NA,NA,NA
"Mayotte",2020-03-25,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
"Ile-de-France",2020-03-25,95,4389,1114,NA,1073,NA,NA,NA,NA,NA,NA
"Centre-Val de Loire",2020-03-25,4,165,58,NA,58,NA,NA,NA,NA,NA,NA
"Bourgogne-Franche-Comte",2020-03-25,17,591,150,NA,204,NA,NA,NA,NA,NA,NA
"Normandy",2020-03-25,3,225,56,NA,79,NA,NA,NA,NA,NA,NA
"Hauts-de-France",2020-03-25,13,829,247,NA,174,NA,NA,NA,NA,NA,NA
"Grand Est",2020-03-25,98,2720,575,NA,593,NA,NA,NA,NA,NA,NA
"Pays de la Loire",2020-03-25,3,236,49,NA,67,NA,NA,NA,NA,NA,NA
"Brittany",2020-03-25,3,158,38,NA,41,NA,NA,NA,NA,NA,NA
"Nouvelle-Aquitaine",2020-03-25,9,340,75,NA,160,NA,NA,NA,NA,NA,NA
"Occitanie",2020-03-25,7,469,147,NA,134,NA,NA,NA,NA,NA,NA
"Auvergne-Rhone-Alpes",2020-03-25,20,1230,258,NA,374,NA,NA,NA,NA,NA,NA
"Provence-Alpes-Cote d'Azur",2020-03-25,7,608,143,NA,176,NA,NA,NA,NA,NA,NA
"Corsica",2020-03-25,8,81,9,NA,22,NA,NA,NA,NA,NA,NA
"Guadeloupe",2020-03-26,0,21,7,NA,19,NA,NA,NA,NA,NA,NA
"Martinique",2020-03-26,0,29,11,NA,8,NA,NA,NA,NA,NA,NA
"French Guiana",2020-03-26,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
"Reunion",2020-03-26,0,3,3,NA,0,NA,NA,NA,NA,NA,NA
"Mayotte",2020-03-26,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
"Ile-de-France",2020-03-26,103,5132,1269,NA,1092,NA,NA,NA,NA,NA,NA
"Centre-Val de Loire",2020-03-26,7,198,69,NA,57,NA,NA,NA,NA,NA,NA
"Bourgogne-Franche-Comte",2020-03-26,21,679,166,NA,165,NA,NA,NA,NA,NA,NA
"Normandy",2020-03-26,2,273,75,NA,61,NA,NA,NA,NA,NA,NA
"Hauts-de-France",2020-03-26,28,919,271,NA,198,NA,NA,NA,NA,NA,NA
"Grand Est",2020-03-26,79,2979,636,NA,553,NA,NA,NA,NA,NA,NA
"Pays de la Loire",2020-03-26,8,282,59,NA,81,NA,NA,NA,NA,NA,NA
"Brittany",2020-03-26,1,202,45,NA,59,NA,NA,NA,NA,NA,NA
"Nouvelle-Aquitaine",2020-03-26,9,399,96,NA,130,NA,NA,NA,NA,NA,NA
"Occitanie",2020-03-26,8,551,177,NA,138,NA,NA,NA,NA,NA,NA
"Auvergne-Rhone-Alpes",2020-03-26,27,1422,290,NA,338,NA,NA,NA,NA,NA,NA
"Provence-Alpes-Cote d'Azur",2020-03-26,11,695,164,NA,171,NA,NA,NA,NA,NA,NA
"Corsica",2020-03-26,4,95,13,NA,27,NA,NA,NA,NA,NA,NA
"Guadeloupe",2020-03-27,1,29,13,NA,11,NA,NA,NA,NA,NA,NA
"Martinique",2020-03-27,0,44,15,NA,14,NA,NA,NA,NA,NA,NA
"French Guiana",2020-03-27,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
"Reunion",2020-03-27,0,3,2,NA,0,NA,NA,NA,NA,NA,NA
"Mayotte",2020-03-27,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
"Ile-de-France",2020-03-27,118,5793,1389,NA,1124,NA,NA,NA,NA,NA,NA
"Centre-Val de Loire",2020-03-27,6,247,80,NA,70,NA,NA,NA,NA,NA,NA
"Bourgogne-Franche-Comte",2020-03-27,16,740,186,NA,109,NA,NA,NA,NA,NA,NA
"Normandy",2020-03-27,4,313,93,NA,59,NA,NA,NA,NA,NA,NA
"Hauts-de-France",2020-03-27,19,993,302,NA,163,NA,NA,NA,NA,NA,NA
"Grand Est",2020-03-27,73,3290,699,NA,538,NA,NA,NA,NA,NA,NA
"Pays de la Loire",2020-03-27,7,371,84,NA,104,NA,NA,NA,NA,NA,NA
"Brittany",2020-03-27,5,215,49,NA,38,NA,NA,NA,NA,NA,NA
"Nouvelle-Aquitaine",2020-03-27,8,482,116,NA,136,NA,NA,NA,NA,NA,NA
"Occitanie",2020-03-27,7,618,187,NA,116,NA,NA,NA,NA,NA,NA
"Auvergne-Rhone-Alpes",2020-03-27,31,1638,344,NA,372,NA,NA,NA,NA,NA,NA
"Provence-Alpes-Cote d'Azur",2020-03-27,4,823,186,NA,190,NA,NA,NA,NA,NA,NA
"Corsica",2020-03-27,0,102,13,NA,15,NA,NA,NA,NA,NA,NA
"Guadeloupe",2020-03-28,0,44,13,NA,18,NA,NA,NA,NA,NA,NA
"Martinique",2020-03-28,0,53,14,NA,11,NA,NA,NA,NA,NA,NA
"French Guiana",2020-03-28,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
"Reunion",2020-03-28,0,15,3,NA,12,NA,NA,NA,NA,NA,NA
"Mayotte",2020-03-28,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
"Ile-de-France",2020-03-28,110,6523,1570,NA,1217,NA,NA,NA,NA,NA,NA
"Centre-Val de Loire",2020-03-28,9,293,89,NA,69,NA,NA,NA,NA,NA,NA
"Bourgogne-Franche-Comte",2020-03-28,9,787,194,NA,127,NA,NA,NA,NA,NA,NA
"Normandy",2020-03-28,2,385,111,NA,96,NA,NA,NA,NA,NA,NA
"Hauts-de-France",2020-03-28,27,1132,329,NA,237,NA,NA,NA,NA,NA,NA
"Grand Est",2020-03-28,96,3525,756,NA,582,NA,NA,NA,NA,NA,NA
"Pays de la Loire",2020-03-28,11,441,103,NA,102,NA,NA,NA,NA,NA,NA
"Brittany",2020-03-28,3,240,57,NA,50,NA,NA,NA,NA,NA,NA
"Nouvelle-Aquitaine",2020-03-28,8,490,127,NA,91,NA,NA,NA,NA,NA,NA
"Occitanie",2020-03-28,7,706,212,NA,150,NA,NA,NA,NA,NA,NA
"Auvergne-Rhone-Alpes",2020-03-28,30,1904,432,NA,406,NA,NA,NA,NA,NA,NA
"Provence-Alpes-Cote d'Azur",2020-03-28,7,934,208,NA,175,NA,NA,NA,NA,NA,NA
"Corsica",2020-03-28,0,108,18,NA,10,NA,NA,NA,NA,NA,NA
"Guadeloupe",2020-03-29,1,44,12,NA,1,NA,NA,NA,NA,NA,NA
"Martinique",2020-03-29,2,57,15,NA,9,NA,NA,NA,NA,NA,NA
"French Guiana",2020-03-29,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
"Reunion",2020-03-29,0,53,4,NA,42,NA,NA,NA,NA,NA,NA
"Mayotte",2020-03-29,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
"Ile-de-France",2020-03-29,119,7092,1668,NA,887,NA,NA,NA,NA,NA,NA
"Centre-Val de Loire",2020-03-29,4,358,103,NA,73,NA,NA,NA,NA,NA,NA
"Bourgogne-Franche-Comte",2020-03-29,16,873,217,NA,159,NA,NA,NA,NA,NA,NA
"Normandy",2020-03-29,6,455,122,NA,88,NA,NA,NA,NA,NA,NA
"Hauts-de-France",2020-03-29,15,1237,348,NA,171,NA,NA,NA,NA,NA,NA
"Grand Est",2020-03-29,62,3735,792,NA,386,NA,NA,NA,NA,NA,NA
"Pays de la Loire",2020-03-29,5,499,107,NA,84,NA,NA,NA,NA,NA,NA
"Brittany",2020-03-29,4,268,57,NA,55,NA,NA,NA,NA,NA,NA
"Nouvelle-Aquitaine",2020-03-29,8,558,160,NA,90,NA,NA,NA,NA,NA,NA
"Occitanie",2020-03-29,8,796,227,NA,127,NA,NA,NA,NA,NA,NA
"Auvergne-Rhone-Alpes",2020-03-29,33,2115,497,NA,325,NA,NA,NA,NA,NA,NA
"Provence-Alpes-Cote d'Azur",2020-03-29,10,1073,243,NA,172,NA,NA,NA,NA,NA,NA
"Corsica",2020-03-29,0,98,20,NA,16,NA,NA,NA,NA,NA,NA
"Guadeloupe",2020-03-30,2,35,11,NA,3,NA,NA,NA,NA,NA,NA
"Martinique",2020-03-30,0,57,15,NA,0,NA,NA,NA,NA,NA,NA
"French Guiana",2020-03-30,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
"Reunion",2020-03-30,0,56,4,NA,4,NA,NA,NA,NA,NA,NA
"Mayotte",2020-03-30,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
"Ile-de-France",2020-03-30,147,7689,1792,NA,1062,NA,NA,NA,NA,NA,NA
"Centre-Val de Loire",2020-03-30,14,457,115,NA,130,NA,NA,NA,NA,NA,NA
"Bourgogne-Franche-Comte",2020-03-30,23,902,220,NA,105,NA,NA,NA,NA,NA,NA
"Normandy",2020-03-30,10,479,137,NA,44,NA,NA,NA,NA,NA,NA
"Hauts-de-France",2020-03-30,31,1355,400,NA,218,NA,NA,NA,NA,NA,NA
"Grand Est",2020-03-30,104,3950,844,NA,554,NA,NA,NA,NA,NA,NA
"Pays de la Loire",2020-03-30,11,512,116,NA,68,NA,NA,NA,NA,NA,NA
"Brittany",2020-03-30,4,290,63,NA,41,NA,NA,NA,NA,NA,NA
"Nouvelle-Aquitaine",2020-03-30,14,658,182,NA,158,NA,NA,NA,NA,NA,NA
"Occitanie",2020-03-30,6,854,267,NA,122,NA,NA,NA,NA,NA,NA
"Auvergne-Rhone-Alpes",2020-03-30,37,2333,583,NA,364,NA,NA,NA,NA,NA,NA
"Provence-Alpes-Cote d'Azur",2020-03-30,15,1220,287,NA,221,NA,NA,NA,NA,NA,NA
"Corsica",2020-03-30,0,99,20,NA,14,NA,NA,NA,NA,NA,NA
"Guadeloupe",2020-03-31,1,37,12,NA,4,NA,NA,NA,NA,NA,NA
"Martinique",2020-03-31,0,64,18,NA,11,NA,NA,NA,NA,NA,NA
"French Guiana",2020-03-31,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
"Reunion",2020-03-31,0,57,6,NA,6,NA,NA,NA,NA,NA,NA
"Mayotte",2020-03-31,0,0,0,NA,0,NA,NA,NA,NA,NA,NA
"Ile-de-France",2020-03-31,222,8615,1977,NA,1731,NA,NA,NA,NA,NA,NA
"Centre-Val de Loire",2020-03-31,7,503,134,NA,66,NA,NA,NA,NA,NA,NA
"Bourgogne-Franche-Comte",2020-03-31,27,914,212,NA,203,NA,NA,NA,NA,NA,NA
"Normandy",2020-03-31,20,535,161,NA,122,NA,NA,NA,NA,NA,NA
"Hauts-de-France",2020-03-31,38,1464,450,NA,310,NA,NA,NA,NA,NA,NA
"Grand Est",2020-03-31,96,4246,890,NA,697,NA,NA,NA,NA,NA,NA
"Pays de la Loire",2020-03-31,13,510,132,NA,100,NA,NA,NA,NA,NA,NA
"Brittany",2020-03-31,5,299,69,NA,41,NA,NA,NA,NA,NA,NA
"Nouvelle-Aquitaine",2020-03-31,6,672,202,NA,118,NA,NA,NA,NA,NA,NA
"Occitanie",2020-03-31,9,874,276,NA,138,NA,NA,NA,NA,NA,NA
"Auvergne-Rhone-Alpes",2020-03-31,31,2487,624,NA,343,NA,NA,NA,NA,NA,NA
"Provence-Alpes-Cote d'Azur",2020-03-31,23,1296,311,NA,243,NA,NA,NA,NA,NA,NA
"Corsica",2020-03-31,1,99,22,NA,13,NA,NA,NA,NA,NA,NA
"Guadeloupe",2020-04-01,2,35,12,NA,6,NA,NA,NA,NA,NA,NA
"Martinique",2020-04-01,0,63,19,NA,4,NA,NA,NA,NA,NA,NA
"French Guiana",2020-04-01,0,5,0,NA,10,NA,NA,NA,NA,NA,NA
"Reunion",2020-04-01,0,53,3,NA,7,NA,NA,NA,NA,NA,NA
"Mayotte",2020-04-01,0,0,0,NA,1,NA,NA,NA,NA,NA,NA
"Ile-de-France",2020-04-01,193,9609,2204,NA,1799,NA,NA,NA,NA,NA,NA
"Centre-Val de Loire",2020-04-01,17,562,153,NA,100,NA,NA,NA,NA,NA,NA
"Bourgogne-Franche-Comte",2020-04-01,16,963,229,NA,168,NA,NA,NA,NA,NA,NA
"Normandy",2020-04-01,7,563,164,NA,98,NA,NA,NA,NA,NA,NA
"Hauts-de-France",2020-04-01,50,1615,478,NA,307,NA,NA,NA,NA,NA,NA
"Grand Est",2020-04-01,111,4470,918,NA,666,NA,NA,NA,NA,NA,NA
"Pays de la Loire",2020-04-01,11,549,133,NA,102,NA,NA,NA,NA,NA,NA
"Brittany",2020-04-01,5,342,79,NA,67,NA,NA,NA,NA,NA,NA
"Nouvelle-Aquitaine",2020-04-01,4,700,215,NA,119,NA,NA,NA,NA,NA,NA
"Occitanie",2020-04-01,17,926,304,NA,163,NA,NA,NA,NA,NA,NA
"Auvergne-Rhone-Alpes",2020-04-01,54,2635,672,NA,437,NA,NA,NA,NA,NA,NA
"Provence-Alpes-Cote d'Azur",2020-04-01,21,1357,332,NA,224,NA,NA,NA,NA,NA,NA
"Corsica",2020-04-01,1,96,25,NA,3,NA,NA,NA,NA,NA,NA
"Guadeloupe",2020-04-02,0,37,16,NA,9,NA,NA,NA,NA,NA,NA
"Martinique",2020-04-02,0,57,20,NA,2,NA,NA,NA,NA,NA,NA
"French Guiana",2020-04-02,0,5,0,NA,3,NA,NA,NA,NA,NA,NA
"Reunion",2020-04-02,0,54,2,NA,6,NA,NA,NA,NA,NA,NA
"Mayotte",2020-04-02,2,9,3,NA,11,NA,NA,NA,NA,NA,NA
"Ile-de-France",2020-04-02,202,10273,2301,NA,1413,NA,NA,NA,NA,NA,NA
"Centre-Val de Loire",2020-04-02,7,640,172,NA,126,NA,NA,NA,NA,NA,NA
"Bourgogne-Franche-Comte",2020-04-02,41,1017,250,NA,214,NA,NA,NA,NA,NA,NA
"Normandy",2020-04-02,12,630,185,NA,108,NA,NA,NA,NA,NA,NA
"Hauts-de-France",2020-04-02,40,1825,518,NA,394,NA,NA,NA,NA,NA,NA
"Grand Est",2020-04-02,52,4657,949,NA,605,NA,NA,NA,NA,NA,NA
"Pays de la Loire",2020-04-02,10,571,141,NA,75,NA,NA,NA,NA,NA,NA
"Brittany",2020-04-02,8,391,111,NA,60,NA,NA,NA,NA,NA,NA
"Nouvelle-Aquitaine",2020-04-02,12,705,221,NA,116,NA,NA,NA,NA,NA,NA
"Occitanie",2020-04-02,11,976,321,NA,138,NA,NA,NA,NA,NA,NA
"Auvergne-Rhone-Alpes",2020-04-02,55,2706,700,NA,330,NA,NA,NA,NA,NA,NA
"Provence-Alpes-Cote d'Azur",2020-04-02,17,1492,370,NA,215,NA,NA,NA,NA,NA,NA
"Corsica",2020-04-02,2,86,25,NA,20,NA,NA,NA,NA,NA,NA
"Guadeloupe",2020-04-03,1,36,17,NA,6,NA,NA,NA,NA,NA,NA
"Martinique",2020-04-03,0,53,19,NA,0,NA,NA,NA,NA,NA,NA
"French Guiana",2020-04-03,0,7,1,NA,2,NA,NA,NA,NA,NA,NA
"Reunion",2020-04-03,0,53,2,NA,4,NA,NA,NA,NA,NA,NA
"Mayotte",2020-04-03,0,18,3,NA,9,NA,NA,NA,NA,NA,NA
"Ile-de-France",2020-04-03,220,10824,2375,NA,1449,NA,NA,NA,NA,NA,NA
"Centre-Val de Loire",2020-04-03,14,674,182,NA,99,NA,NA,NA,NA,NA,NA
"Bourgogne-Franche-Comte",2020-04-03,32,1028,265,NA,134,NA,NA,NA,NA,NA,NA
"Normandy",2020-04-03,12,650,197,NA,65,NA,NA,NA,NA,NA,NA
